template;groupe
C_01.00;
C_02.00;
C_03.00;
C_04.00;
C_05.01;
C_05.02;
C_07.00;
C_08.01;
C_08.02;
C_08.03;
C_08.04;
C_08.05;
C_08.06;
C_08.07;
C_09.01;
C_09.02;
C_10.00;
C_10.01;
C_11.00;
C_13.01;
C_14.00;
C_15.00;
C_16.00;
C_17.01;
C_17.02;
C_18.00;
C_19.00;
C_20.00;
C_21.00;
C_22.00;
C_23.00;
C_24.00;
C_25.00;
C_26.00;
C_27.00;
C_28.00;
C_29.00;
C_32.01;
C_32.02;
C_32.03;
C_32.04;
C_33.00;
C_34.01;
C_34.02;
C_34.03;
C_34.04;
C_34.05;
C_34.06;
C_34.07;
C_34.08;
C_34.09;
C_34.10;
C_34.11;
C_35.01;
C_35.02;
C_35.03;
C_40.00;
C_43.00;
C_44.00;
C_45.00;
C_46.00;
C_47.00;
C_48.00;
C_66.00;
C_67.00;
C_68.00;
C_69.00;
C_70.00;
C_71.00;
C_72.00;LCR
C_73.00;LCR
C_74.00;LCR
C_75.00;LCR
C_75.01;LCR
C_76.00;LCR
C_77.00;LCR
C_80.00;NSFR
C_81.00;NSFR
C_82.00;NSFR
C_83.00;NSFR
C_84.00;NSFR
C_90.00;
C_91.00;
F_01.01;FINREP
F_01.02;FINREP
F_01.03;FINREP
F_02.00;FINREP
F_03.00;FINREP
F_04.01;FINREP
F_04.02.1;FINREP
F_04.02.2;FINREP
F_04.03.1;FINREP
F_04.04.1;FINREP
F_04.05;FINREP
F_04.06;FINREP
F_04.07;FINREP
F_04.08;FINREP
F_04.09;FINREP
F_04.10;FINREP
F_05.01;FINREP
F_06.01;FINREP
F_07.01;FINREP
F_07.02;FINREP
F_08.01;FINREP
F_08.02;FINREP
F_09.01;FINREP
F_09.01.1;FINREP
F_09.02;FINREP
F_10.00;FINREP
F_11.01;FINREP
F_11.02;FINREP
F_11.03;FINREP
F_11.03.1;FINREP
F_11.04;FINREP
F_12.00;FINREP
F_12.01;FINREP
F_12.02;FINREP
F_13.01;FINREP
F_13.02.1;FINREP
F_13.03.1;FINREP
F_14.00;FINREP
F_15.00;FINREP
F_16.01;FINREP
F_16.02;FINREP
F_16.03;FINREP
F_16.04;FINREP
F_16.04.1;FINREP
F_16.05;FINREP
F_16.06;FINREP
F_16.07;FINREP
F_16.08;FINREP
F_17.01;FINREP
F_17.02;FINREP
F_17.03;FINREP
F_18.00;FINREP
F_18.01;FINREP
F_18.02;FINREP
F_19.00;FINREP
F_20.01;FINREP
F_20.02;FINREP
F_20.03;FINREP
F_20.04;FINREP
F_20.05;FINREP
F_20.06;FINREP
F_20.07.1;FINREP
F_21.00;FINREP
F_22.01;FINREP
F_22.02;FINREP
F_23.01;FINREP
F_23.02;FINREP
F_23.03;FINREP
F_23.04;FINREP
F_23.05;FINREP
F_23.06;FINREP
F_24.01;FINREP
F_24.02;FINREP
F_24.03;FINREP
F_25.01;FINREP
F_25.02;FINREP
F_25.03;FINREP
F_26.00;FINREP
F_30.01;FINREP
F_30.02;FINREP
F_31.01;FINREP
F_31.02;FINREP
F_32.01;FINREP
F_32.02;FINREP
F_32.03;FINREP
F_32.04;FINREP
F_33.00;FINREP
F_34.00;FINREP
F_35.00;FINREP
F_36.01;FINREP
F_36.02;FINREP
F_40.01;FINREP
F_40.02;FINREP
F_41.01;FINREP
F_41.02;FINREP
F_42.00;FINREP
F_43.00;FINREP
F_44.01;FINREP
F_44.02;FINREP
F_44.03;FINREP
F_44.04;FINREP
F_45.01;FINREP
F_45.02;FINREP
F_45.03;FINREP
F_46.00;FINREP
F_47.00;FINREP
KRI;Key Risk Indicator
