table_id;x_axis_rc_code;y_axis_rc_code
D_05.00;50;N77_21
C_16.00;100;90
D_05.00;80;J58_11
C_84.00;20;180
F_25.01;120;40
D_05.00;110;M70_21
C_22.00;60;120
C_13.01;70;460
C_75.01;100;900
C_80.00;90;530
C_114.00;209;x414_CH
F_18.00;196;450
F_23.03;140;180
C_74.00;60;260
C_103.00;80;NULL
D_05.00;100;G46_41
C_80.00;110;170
J_06.00;40;620
C_75.01;60;1820
C_81.00;80;10
C_22.00;80;110
C_75.01;60;2670
C_34.03;20;320
F_23.01;50;200
C_18.00;50;390
C_20.00;450;20
C_80.00;40;560
D_09.01;150;40
F_08.01;40;220
C_80.00;40;600
D_05.00;80;C19_2
D_05.00;20;P85_6
F_18.00;70;470
F_19.00;100;222
C_118.00;205;x418_AE
C_114.00;160;x416_AR
C_21.00;70;125
D_05.00;40;N81_21
F_18.00;109;212
F_35.00;20;30
D_07.00;70;500
C_32.01;40;180
C_16.00;71;110
C_75.01;70;1990
C_75.01;70;2630
C_114.00;180;x415_SN
D_05.00;130;G46_12
C_118.00;207;x418_JP
D_05.00;50;M70_21
C_118.00;209;x418_BE
C_66.01;25;90
D_05.00;110;G46_13
F_18.00;900;216
C_120.04;150;x7_x130_x876_x15_x776
C_114.00;170;x416_GG
C_120.04;120;x2_x1285_x876_x16_x775
F_23.03;150;30
C_34.05;160;140
C_81.00;90;330
C_34.05;170;100
D_07.00;40;490
F_25.01;110;20
C_34.01;10;70
D_05.00;40;J59_12
C_40.00;75;300
C_73.00;30;1130
C_80.00;120;810
D_05.00;50;C13_93
C_114.00;170;x415_AM
C_32.02;220;150
F_23.01;50;160
F_18.00;106;480
C_66.01;25;1131
C_32.02;120;60
C_115.00;160;NULL
D_05.00;120;Q87_9
C_66.01;25;540
C_74.00;110;313
R_06.01;20;20
C_80.00;90;810
J_02.00;140;290
C_07.00;240;100
C_13.01;230;640
J_04.00;70;580
C_13.01;40;340
C_17.01;90;945
C_18.00;30;12
C_114.00;150;x417_KY
F_46.00;110;140
C_75.01;80;2800
F_18.00;90;440
